wdNumber,docNumber,lease,category,amount,periodStart,periodEnd,submittedDate,unit,comment,company,supplier,arrangement,invoicing
SINV-351052,RI18550,1667,Rental,"$1,348.26",2025-10-01,2025-10-31,2025-09-30,2058,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5151,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5167,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5184,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5220,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5224,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5228,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351063,RI18747,20088-06,Rental,"$5,921.95",2025-10-01,2025-10-31,2025-09-30,5245,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351010,RI18664,20038-03,Rental,"$2,135.91",2025-10-01,2025-10-31,2025-09-30,100063,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351006,RI18663,20038-02,Rental,"$5,674.70",2025-10-01,2025-10-31,2025-09-30,100064,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351006,RI18663,20038-02,Rental,"$5,674.70",2025-10-01,2025-10-31,2025-09-30,100065,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351021,RI18666,20038-05,Rental,"$2,165.88",2025-10-01,2025-10-31,2025-09-30,100077,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350922,RI18700,20066-02,Rental,"$1,941.48",2025-09-01,2025-09-30,2025-09-30,100144,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,Net-30
SINV-350922,RI18700,20066-02,Rental,"$1,941.48",2025-09-01,2025-09-30,2025-09-30,100145,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,Net-30
SINV-350922,RI18700,20066-02,Rental,"$1,941.48",2025-09-01,2025-09-30,2025-09-30,100146,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,Net-30
SINV-351023,RI18667,20038-06,Rental,"$11,350.15",2025-10-01,2025-10-31,2025-09-30,100083,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351032,RI18668,20038-08,Rental,"$6,113.90",2025-10-01,2025-10-31,2025-09-30,100084,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351032,RI18668,20038-08,Rental,"$6,113.90",2025-10-01,2025-10-31,2025-09-30,100085,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350960,RI18669,20038-10,Rental,"$13,889.10",2025-10-01,2025-10-31,2025-09-30,100092,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350960,RI18669,20038-10,Rental,"$13,889.10",2025-10-01,2025-10-31,2025-09-30,100096,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350965,RI18670,20038-11,Rental,"$4,749.82",2025-10-01,2025-10-31,2025-09-30,100097,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350973,RI18672,20038-14,Rental,"$9,214.54",2025-10-01,2025-10-31,2025-09-30,100109,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351059,RI18746,20088-05,Rental,"$1,848.12",2025-10-01,2025-10-31,2025-09-30,100114,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-350983,RI18673,20038-15,Rental,"$2,288.57",2025-10-01,2025-10-31,2025-09-30,100118,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350945,RI18702,20066-05,Rental,"$2,241.09",2025-10-01,2025-10-31,2025-09-30,100119,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350942,RI18701,20066-03,Rental,"$2,546.20",2025-10-01,2025-10-31,2025-09-30,100147,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350970,RI18671,20038-12,Rental,"$13,614.05",2025-10-01,2025-10-31,2025-09-30,100156,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350989,RI18674,20038-16,Rental,"$2,166.65",2025-10-01,2025-10-31,2025-09-30,100161,,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-350947,RI18703,20066-06,Rental,"$5,321.83",2025-10-01,2025-10-31,2025-09-30,100292,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351071,RI18753,20088-12,Rental,"$2,193.50",2025-10-01,2025-10-31,2025-09-30,100418,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351071,RI18753,20088-12,Rental,"$2,193.50",2025-10-01,2025-10-31,2025-09-30,100419,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-349000,64922,1005-019,Property Tax,$374.64,2025-10-01,2025-10-31,2025-09-22,120376,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-351073,RI18754,20088-13,Rental,"$3,321.00",2025-10-01,2025-10-31,2025-09-30,100420,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-348760,65248,1016-036,Property Tax,"$6,939.05",2025-09-11,2025-09-11,2025-09-19,279188,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-349097,64614,1016-024,Property Tax,"$1,778.20",2025-09-11,2025-09-11,2025-09-22,2021266,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347297,64458,1016-036,Sundry,"$1,679.18",2025-08-28,2025-08-28,2025-09-14,2021552,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-351073,RI18754,20088-13,Rental,"$3,321.00",2025-10-01,2025-10-31,2025-09-30,100421,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351073,RI18754,20088-13,Rental,"$3,321.00",2025-10-01,2025-10-31,2025-09-30,100422,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351076,RI18755,20088-14,Rental,"$2,337.95",2025-10-01,2025-10-31,2025-09-30,100438,,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101603,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101606,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101607,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101608,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-349024,64820,1005-039,Property Tax,$516.97,2025-09-11,2025-09-11,2025-09-22,120386,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101614,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-351086,RI18759,20088-18,Rental,"$10,985.30",2025-10-01,2025-10-31,2025-09-30,101615,,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month
SINV-348182,64703,1016-031,Rental,"$1,583.30",2025-10-01,2025-10-31,2025-09-18,277883,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,6001153,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,6001154,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,8700244,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,8700245,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349032,64800,1005-01-002,Property Tax,$291.39,2025-10-01,2025-10-31,2025-09-22,115PS20426,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,8700246,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349338,19526,1163,Rental,"$3,051.72",2025-09-01,2025-09-30,2025-09-23,1163,,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30
SINV-348078,64609,1005-028,Rental,"$3,267.00",2025-10-01,2025-10-31,2025-09-17,8700247,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349338,19526,1170,Rental,"$3,051.72",2025-09-01,2025-09-30,2025-09-23,1170,,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30
SINV-348257,64813,1005-019,Rental,$919.36,2025-10-01,2025-10-31,2025-09-18,120376,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348214,64776,1005-039,Rental,$660.96,2025-10-01,2025-10-31,2025-09-18,120386,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348289,64818,1016-058,Rental,"$1,620.08",2025-10-01,2025-10-31,2025-09-18,1016-058-1,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348289,64818,1016-058,Rental,"$1,620.08",2025-10-01,2025-10-31,2025-09-18,1016-058-2,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348076,64604,1016-044,Rental,"$2,197.80",2025-10-01,2025-10-31,2025-09-17,10876,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349102,64523,1016-042,Property Tax,$423.88,2025-09-11,2025-09-11,2025-09-22,13710849,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348076,64604,1016-044,Rental,"$2,197.80",2025-10-01,2025-10-31,2025-09-17,10877,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348076,64604,1016-044,Rental,"$2,197.80",2025-10-01,2025-10-31,2025-09-17,10880,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348076,64604,1016-044,Rental,"$2,197.80",2025-10-01,2025-10-31,2025-09-17,10881,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348640,65166,1005-01-002,Rental,$903.17,2025-10-01,2025-10-31,2025-09-19,115PS20426,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348612,65137,1005-022,Rental,"$2,279.75",2025-10-01,2025-10-31,2025-09-19,116PS21069,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348613,65141,1016-060,Rental,"$7,027.78",2025-10-01,2025-10-31,2025-09-19,119PS22983,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348186,64708,1005-01-003,Rental,$680.52,2025-10-01,2025-10-31,2025-09-18,12301,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,1FDRF3G65HEE73842,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,1FDRF3G65HEE73842,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-348616,65153,1016-002,Rental,$674.88,2025-10-01,2025-10-31,2025-09-19,136,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348365,64955,1016-033,Rental,"$1,018.98",2025-10-01,2025-10-31,2025-09-18,13710276,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348365,64955,1016-033,Rental,"$1,018.98",2025-10-01,2025-10-31,2025-09-18,13710278,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347296,64457,1005-031,Credit,($869.22),2025-09-01,2025-09-30,2025-09-14,2021200,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347296,64457,1005-031,Credit,($869.22),2025-09-01,2025-09-30,2025-09-14,2021201,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349055,64714,1005-030,Property Tax,$635.90,2025-10-01,2025-10-31,2025-09-22,2021204,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348066,64546,1016-042,Rental,$997.63,2025-10-01,2025-10-31,2025-09-17,13710849,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348066,64546,1016-042,Rental,$997.63,2025-10-01,2025-10-31,2025-09-17,13710852,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348212,64771,1016-051,Rental,"$1,269.84",2025-10-01,2025-10-31,2025-09-18,13710878,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348212,64771,1016-051,Rental,"$1,269.84",2025-10-01,2025-10-31,2025-09-18,13710879,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347300,64465,1005-049,Credit,($712.31),2025-09-01,2025-09-30,2025-09-14,2021375,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348450,65048,1016-026,Rental,$547.23,2025-10-01,2025-10-31,2025-09-18,137-9862,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347300,64465,1005-049,Credit,($712.31),2025-09-01,2025-09-30,2025-09-14,2021376,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348423,64997,1016-018,Rental,$972.36,2025-10-01,2025-10-31,2025-09-18,137-9864,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347300,64465,1005-049,Credit,($712.31),2025-09-01,2025-09-30,2025-09-14,2021377,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348423,64997,1016-018,Rental,$972.36,2025-10-01,2025-10-31,2025-09-18,137-9865,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-349061,64670,1016-029,Property Tax,"$2,824.47",2025-09-11,2025-09-11,2025-09-22,2021487,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348337,64910,1016-028,Rental,"$1,441.89",2025-10-01,2025-10-31,2025-09-18,1FDUF4GYXHEE35170,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348328,64889,1016-003,Rental,$909.09,2025-10-01,2025-10-31,2025-09-18,2020776,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021552,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021552,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021553,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021553,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021554,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021554,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021555,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021555,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021556,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021556,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021557,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021557,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021558,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021558,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347463,64478,1016-036,Credit,"($5,241.68)",2025-09-01,2025-09-30,2025-09-15,2021559,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347015,64468,1016-036,Rental,"($3,358.38)",2025-09-01,2025-09-30,2025-09-12,2021559,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30
SINV-347450,64474,1016-060,Sundry,$275.30,2025-08-29,2025-08-29,2025-09-15,2021612,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348616,65153,1016-002,Rental,$674.88,2025-10-01,2025-10-31,2025-09-19,2020777,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348353,64933,1005-030,Rental,"$2,591.48",2025-10-01,2025-10-31,2025-09-18,2021204,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348353,64933,1005-030,Rental,"$2,591.48",2025-10-01,2025-10-31,2025-09-18,2021205,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-347293,64441,1016-054,Sundry,$886.78,2025-08-25,2025-08-25,2025-09-14,2022760,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348353,64933,1005-030,Rental,"$2,591.48",2025-10-01,2025-10-31,2025-09-18,2021206,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348237,64790,1016-024,Rental,"$7,585.71",2025-10-01,2025-10-31,2025-09-18,2021266,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348614,65146,1005-049,Rental,"$3,697.50",2025-10-01,2025-10-31,2025-09-19,2021375,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348614,65146,1005-049,Rental,"$3,697.50",2025-10-01,2025-10-31,2025-09-19,2021376,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348614,65146,1005-049,Rental,"$3,697.50",2025-10-01,2025-10-31,2025-09-19,2021377,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348307,64841,1016-029,Rental,"$4,118.79",2025-10-01,2025-10-31,2025-09-18,2021487,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348307,64841,1016-029,Rental,"$4,118.79",2025-10-01,2025-10-31,2025-09-18,2021488,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348613,65141,1016-060,Rental,"$7,027.78",2025-10-01,2025-10-31,2025-09-19,2021612,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348441,65024,1016-054,Rental,"$5,543.48",2025-10-01,2025-10-31,2025-09-18,2022755,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348613,65141,1016-060,Rental,"$7,027.78",2025-10-01,2025-10-31,2025-09-19,2022759,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348441,65024,1016-054,Rental,"$5,543.48",2025-10-01,2025-10-31,2025-09-18,2022760,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023201,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023214,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023215,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023217,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023218,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348334,64902,1005-066,Rental,"$10,539.30",2025-10-01,2025-10-31,2025-09-18,2023221,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348334,64902,1005-066,Rental,"$10,539.30",2025-10-01,2025-10-31,2025-09-18,2023222,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348334,64902,1005-066,Rental,"$10,539.30",2025-10-01,2025-10-31,2025-09-18,2023223,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348334,64902,1005-066,Rental,"$10,539.30",2025-10-01,2025-10-31,2025-09-18,2023225,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348071,64565,1016-057,Rental,"$26,742.47",2025-10-01,2025-10-31,2025-09-17,2023430,,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
SINV-348154,64636,1005-067,Rental,$539.28,2025-10-01,2025-10-31,2025-09-18,2023909,,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month
